item_id,name,config_type,config_key,default_value,recommended_value,category,risk_level,source_file,source_line,description,default_enabled,latency_relevant,throughput_relevant
env_vllm_ascend_enable_matmul_allreduce,Whether to enable MatmulAllRed,env_var,VLLM_ASCEND_ENABLE_MATMUL_ALLREDUCE,0,1,communication,medium,/vllm-workspace/vllm-ascend/vllm_ascend/envs.py,71,启用MatmulAllReduce融合算子(A2芯片). TP场景下将matmul和allreduce合并执行. eager模式性能更优,false,true,true
env_vllm_ascend_enable_flashcomm1,Whether to enable FlashComm op,env_var,VLLM_ASCEND_ENABLE_FLASHCOMM1,0,1,communication,medium,/vllm-workspace/vllm-ascend/vllm_ascend/envs.py,74,启用FlashComm1优化. 大并发场景下通过通算掩盖提升TP通信效率. 需配合prefill_context_parallel_size,false,true,true
env_vllm_ascend_flashcomm2_parallel_size,Whether to enable FLASHCOMM2. ,env_var,VLLM_ASCEND_FLASHCOMM2_PARALLEL_SIZE,0,2,communication,medium,/vllm-workspace/vllm-ascend/vllm_ascend/envs.py,79,FlashComm2的O-matrix TP组大小. 0=禁用. 与FC1互斥. 参考文档选择FC1或FC2,false,true,true
env_vllm_ascend_enable_prefetch_mlp,Whether to enable MLP weight p,env_var,VLLM_ASCEND_ENABLE_PREFETCH_MLP,0,1,bandwidth,low,/vllm-workspace/vllm-ascend/vllm_ascend/envs.py,81,已废弃请用weight_prefetch_config. 小并发场景下预取MLP权重掩盖HBM延迟,false,true,false
env_vllm_ascend_mlp_gate_up_prefetch_size,buffer size for gate up prefet,env_var,VLLM_ASCEND_MLP_GATE_UP_PREFETCH_SIZE,18874368,18874368,bandwidth,low,/vllm-workspace/vllm-ascend/vllm_ascend/envs.py,83,gate_up权重预取缓冲区大小(字节). 默认18MB. 配合ENABLE_PREFETCH_MLP使用,false,true,false
env_vllm_ascend_mlp_down_prefetch_size,buffer size for down proj pref,env_var,VLLM_ASCEND_MLP_DOWN_PREFETCH_SIZE,18874368,18874368,bandwidth,low,/vllm-workspace/vllm-ascend/vllm_ascend/envs.py,87,down_proj权重预取缓冲区大小(字节). 默认18MB,false,true,false
env_msmonitor_use_daemon,Whether to enable msMonitor to,env_var,MSMONITOR_USE_DAEMON,0,0,compute,low,/vllm-workspace/vllm-ascend/vllm_ascend/envs.py,91,启用msMonitor性能监控. 生产环境建议关闭避免开销,false,false,false
env_vllm_ascend_enable_mlapo,Whether to enable MLAPO optimi,env_var,VLLM_ASCEND_ENABLE_MLAPO,1,1,compute,medium,/vllm-workspace/vllm-ascend/vllm_ascend/envs.py,96,DeepSeek W8A8模型MLAPO优化. 默认开启提升性能但增加显存. 显存紧张时可关闭,true,true,true
env_vllm_ascend_enable_nz,Whether to enable weight cast ,env_var,VLLM_ASCEND_ENABLE_NZ,1,2,compute,medium,/vllm-workspace/vllm-ascend/vllm_ascend/envs.py,101,权重FRACTAL_NZ格式. 0=关闭 1=仅量化 2=尽可能启用. NZ利用Cube单元提升matmul效率,true,true,true
env_vllm_ascend_enable_context_parallel,Decide whether we should enabl,env_var,VLLM_ASCEND_ENABLE_CONTEXT_PARALLEL,0,1,parallel,medium,/vllm-workspace/vllm-ascend/vllm_ascend/envs.py,103,启用CP并行. 长序列场景将context分片到多卡. 需配合prefill/decode_context_parallel_size,false,true,true
env_dynamic_eplb,Whether to anbale dynamic EPLB,env_var,DYNAMIC_EPLB,false,true,scheduling,high,/vllm-workspace/vllm-ascend/vllm_ascend/envs.py,105,启用动态EPLB. MoE模型运行时动态调整专家分布. 需配合eplb_config,false,false,true
env_vllm_ascend_enable_fused_mc2,Whether to enable fused mc2(`d,env_var,VLLM_ASCEND_ENABLE_FUSED_MC2,0,1,compute,medium,/vllm-workspace/vllm-ascend/vllm_ascend/envs.py,113,融合MC2模式. 0=标准 1=dispatch_ffn_combine(W8A8/EP<=32) 2=dispatch_gmm_combine_decode(decode专用). 减少MoE通信开销,false,true,true
env_vllm_ascend_balance_scheduling,Whether to anbale balance sche,env_var,VLLM_ASCEND_BALANCE_SCHEDULING,0,1,scheduling,low,/vllm-workspace/vllm-ascend/vllm_ascend/envs.py,115,启用均衡调度策略. 多卡场景平衡各卡计算负载,false,false,true
env_vllm_ascend_fusion_op_transpose_kv_cache_by_block,use fused op transpose_kv_cach,env_var,VLLM_ASCEND_FUSION_OP_TRANSPOSE_KV_CACHE_BY_BLOCK,1,1,compute,low,/vllm-workspace/vllm-ascend/vllm_ascend/envs.py,117,融合算子transpose_kv_cache_by_block. 默认开启减少KV cache转置开销,true,true,false
env_fla_use_fast_ops,FLA快速算子,env_var,FLA_USE_FAST_OPS,0,1,compute,low,/vllm-workspace/vllm-ascend/vllm_ascend/ops/triton/fla/sigmoid_gating.py,17,启用FLA快速算子(sigmoid_gating优化). Triton kernel优化可小幅提升decode性能,false,true,false
